onset,duration,event,trial,scans
0,34,long rest,1,0
34,16,regulation,1,34
50,6,delay,1,50
56,4,feedback,1,56
60,10,rest,2,60
70,16,regulation,2,70
86,6,delay,2,86
92,4,feedback,2,92
96,10,rest,3,96
106,16,regulation,3,106
122,6,delay,3,122
128,4,feedback,3,128
132,10,rest,4,132
142,16,regulation,4,142
158,6,delay,4,158
164,4,feedback,4,164
168,10,rest,5,168
178,16,regulation,5,178
194,6,delay,5,194
200,4,feedback,5,200
204,10,rest,6,204
214,16,regulation,6,214
230,6,delay,6,230
236,4,feedback,6,236
240,10,rest,7,240
250,16,regulation,7,250
266,6,delay,7,266
272,4,feedback,7,272
276,10,rest,8,276
286,16,regulation,8,286
302,6,delay,8,302
308,4,feedback,8,308
312,10,rest,9,312
322,16,regulation,9,322
338,6,delay,9,338
344,4,feedback,9,344
348,10,rest,10,348
358,16,regulation,10,358
374,6,delay,10,374
380,4,feedback,10,380
384,10,rest,11,384
394,16,regulation,11,394
410,6,delay,11,410
416,4,feedback,11,416
420,10,rest,12,420
430,16,regulation,12,430
446,6,delay,12,446
452,4,feedback,12,452
456,10,rest,13,456
466,16,regulation,13,466
482,6,delay,13,482
488,4,feedback,13,488
492,10,rest,14,492
502,16,regulation,14,502
518,6,delay,14,518
524,4,feedback,14,524
528,10,rest,15,528
538,16,regulation,15,538
554,6,delay,15,554
560,4,feedback,15,560
564,10,rest,16,564
574,16,regulation,16,574
590,6,delay,16,590
596,4,feedback,16,596
